,tweet_id,sentiment,content
107,1956991704,negative,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
108,1956991723,negative,ahh! big scary bug flying around my room!!!!!
109,1956992030,negative,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
110,1956992144,negative,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
112,1956993007,negative,i'm so tired
116,1956995196,negative,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
119,1956995762,negative,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;
121,1956996081,negative,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku
122,1956996385,positive,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...
123,1956996470,negative,"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it."
124,1956996673,negative,@britblackbird  youstinkatrespondingtotexts!
125,1956996730,negative,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
126,1956996765,positive,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
127,1956996776,negative,Is miserable  i feel like im gona cry  sux!
129,1956997352,negative,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one
131,1956998370,positive,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.
132,1956998532,negative,*sigh* I'm going to bed... I just don't feel right anymore...
135,1956998704,negative,Now I am depressed after watching so you think you can dance
136,1957000040,negative,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
139,1957000290,negative,"I cant sleep, but im too sore to move"
141,1957000336,negative,@softtouchme just answered you- never learned how to write in French- just basic stuff-
143,1957000788,negative,Achieving a new appreciation on how a xml build script can really be painful and cumbersome
145,1957001370,negative,@omfgiselle i cant do anything
147,1957001506,positive,I'm at work
148,1957001854,positive,RIP leonardo. You were a great mini fiddler crab
150,1957002082,negative,"Last day working for the Uni today, sad times"
151,1957002773,positive,"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far"
152,1957002923,negative,My head hurts so bad I could scream!
153,1957003048,negative,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain
154,1957003356,negative,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice
155,1957003440,negative,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...
157,1957004184,negative,oh men!!!!!!......I really can't see my face........c'mon guys!!!
158,1957004519,negative,"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old"
159,1957004606,negative,my sole supporter is not my sole supporter
160,1957004749,negative,don't you hate it when you finish all your work and there's still 1.25 hours left of work time
161,1957005165,negative,@Emilyyy16 urgh stop it guys
162,1957005226,negative,is still missing her husband.    I really want him home.
163,1957005279,negative,I miss my puppy
165,1957005696,positive,@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.
166,1957005713,negative,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)
167,1957005817,negative,Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?
168,1957006033,negative,@BarbSchaefer yearling in pet home died... very sad for their whole family
170,1957006098,negative,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!
171,1957006245,negative,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."
172,1957006307,negative,is feeling sad... for some reason..  http://plurk.com/p/wxji3
173,1957006547,negative,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.
174,1957006674,negative,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
177,1957006947,negative,"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards"
179,1957007268,positive,@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?
180,1957007357,negative,Have a headache  I'm going to bed. Goodnight!
182,1957007437,positive,"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay"
183,1957007633,negative,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.
184,1957007981,negative,@jertronic it wont let me
185,1957008075,negative,Took a shift tomorrow.    I don't really feel like working right now.
186,1957008193,negative,but now i have no money for a phone
187,1957008287,negative,Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.
188,1957008292,negative,@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything
191,1957008498,negative,Too bad the Red Devils.. disappointing to say the least
193,1957008802,negative,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz)."
195,1957009454,negative,"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff"
196,1957009666,negative,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
197,1957010072,negative,why are plane tickets so expensive
198,1957010329,positive,(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
199,1957010415,negative,Needs a job BADLY!!!
200,1957011291,negative,@AlexanderGWhite daaammmnnnnn I do wish I was there.
201,1957011738,negative,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb
202,1957012476,negative,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
203,1957012535,negative,@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4
204,1957012769,negative,is a bad friend
206,1957013166,negative,@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin
209,1957013723,negative,would wish the severe migrains would stop!!! doc's prescriptions arent working
210,1957013804,positive,@bobbyedner i missed the game
211,1957013885,negative,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby"
212,1957013895,negative,@tiffalo cuz airlines are super lame.
213,1957013896,negative,@lenje - Still a pity it comes with no lamb though
214,1957014267,negative,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
215,1957014389,positive,"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat"
216,1957014493,negative,I'm so very tired...and have insomnia.
219,1957014706,negative,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation."
222,1957015719,negative,people in my house do not know how to close doors
225,1957016339,negative,@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death
226,1957016697,negative,Had to cancel wow for now
227,1957016818,negative,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio
228,1957017164,negative,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
229,1957017177,negative,"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO."
230,1957017320,negative,@__sugar oh no  i am always here ;) &lt;3
233,1957017522,positive,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
234,1957017595,positive,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
236,1957018061,negative,Up late with nothin 2 do.....
237,1957018162,negative,i think the vog is making me sicker than i think. feeling slightly achy
238,1957018678,negative,"@TheTombert i was watching Harpers Island, lol... there was no vodka involved"
239,1957019034,negative,i am doing homework it sux big time maths is the worst!!!!!!
242,1957019556,negative,sometimes i wish things could go back to the way they were the beginning of last summer
243,1957019715,negative,"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't"
244,1957019766,negative,@tarng Trudy's off Burnet...the one up north that no one goes to
245,1957020180,negative,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes."
246,1957020385,positive,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
247,1957020390,negative,i'm sooooooooooooo confused
249,1957020624,negative,"Work day 7 of 7,"
250,1957020702,positive,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
252,1957021039,negative,"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban"
254,1957021305,negative,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
256,1957021486,negative,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
258,1957022610,negative,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with
261,1957023133,negative,"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ..."
262,1957023263,negative,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers."
263,1957023739,negative,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!
266,1957024334,negative,@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz
267,1957025428,negative,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"
268,1957026475,negative,It's pissing me off and not letting me follow ericka
269,1957027495,negative,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
270,1957027630,negative,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
272,1957027841,negative,@msz_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin
274,1957028775,negative,I have forgot the live with the Jonas Brothers on Facebook
275,1957028895,negative,I haven't seen Muffin in two whole days!
276,1957029111,negative,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...
278,1957029641,negative,"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today...."
280,1957030196,negative,my twitter has been hacked again
281,1957030545,negative,Just found mj mouse flats at DJs. Of course there are none left in my size
283,1957030622,negative,@lanacaitlin  hahaha well its try its so ugly
285,1957031520,negative,"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you"
286,1957031859,positive,@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though
291,1957032228,negative,@xoshayzers i knoww  things won't be the samee &lt;/3
292,1957032539,negative,"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat."
293,1957033043,positive,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
294,1957033103,negative,"Okay, so twitter suddenly changed, how do I respond to messages now"
296,1957033558,negative,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!
297,1957033776,negative,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
299,1957033874,negative,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.
300,1957033901,negative,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend
301,1957034202,negative,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu
302,1957034289,negative,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!
304,1957034566,negative,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...
308,1957035564,positive,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.
309,1957035950,negative,my roommate @tess_tickle loves to ignore me
312,1957037860,positive,"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha"
313,1957038324,negative,my teeth and head hurts
314,1957038398,negative,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.
315,1957038470,negative,"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!"
316,1957038475,negative,Waiting in line @ tryst
317,1957038477,negative,Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!
318,1957038763,negative,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover
319,1957038970,negative,I need to be held...  Gnite.
320,1957039203,negative,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents"
321,1957039456,negative,no more arrested development. i am sad.
323,1957039894,negative,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D
324,1957039922,negative,I feel so deflated. No more doggy.
325,1957039947,negative,@blood_rain i wanna see her hair  hows everyone?
326,1957040172,negative,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE."
327,1957040395,negative,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much
328,1957040988,negative,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over
329,1957041569,negative,Aww...  Pray for the arroyo family everyone!
331,1957041745,negative,Fuuudge. Movie store is closed
332,1957041767,negative,ALO is so sad and quiet and empty tonight
333,1957041812,negative,"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set"
334,1957041856,negative,@wuzzyangel You never answered your DM I sent you....   I need your info...
335,1957042008,negative,Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...
336,1957042316,negative,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie
337,1957042474,negative,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!
338,1957042509,negative,@jose3030 I didn't think anyone caught that
339,1957042579,negative,I need to be sleeping.. But i'm not even tired..
340,1957042734,negative,0
343,1957043226,negative,Sad that Christian Lacroix had to file bankruptcy
344,1957043241,negative,I dont feel good AT ALL. fuckkk
345,1957044366,negative,why did i agree to work a double shift
346,1957044680,negative,looks like i'll never go to the zoo
347,1957044694,negative,@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!
349,1957044789,negative,@Moss1982 bad times?
350,1957044935,negative,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor
351,1957045395,negative,Have to go to the dreaded DMV tomorrow
353,1957045692,positive,english class! working on interactive orals
354,1957045940,negative,@SharonHayes Thank you for the rec but that doesn't work
356,1957046090,negative,My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie
357,1957046631,negative,I don't know how ima work out tomorrow wit my body dis sore  ugh
360,1957047569,negative,I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.
361,1957047571,negative,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.
362,1957047787,negative,I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.
363,1957047828,negative,"Lady across the way had a miscarriage, say a prayer"
364,1957048027,negative,God I just want to sleep.
365,1957048703,negative,@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??
366,1957048870,negative,I feel so deflated. No more doggy.
367,1957049167,negative,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes
368,1957050633,negative,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"
369,1957050684,negative,is feeling bad  just got bad news about my Mum
370,1957050747,negative,@RealBlackWidow But but I dun wanna
371,1957050890,negative,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!
372,1957051517,negative,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha"
375,1957052409,negative,don't feel like working  I think I tweet this too often!
376,1957052932,negative,feels sick to my stomach and idkk whyy
377,1957053170,negative,vineri...nimic special sau probabil un alt weekend pierdut...
380,1957053409,positive,is home.  safely... but hungry
381,1957053566,negative,"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER"
382,1957055178,negative,"got to final table, but....went out third.  Don't think I'll be getting my free seat"
384,1957055530,negative,I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!
385,1957055981,positive,FB is boring   and i wanna sing RIGHT NOW..! *-*
386,1957056027,negative,@judyrey  The link doesn't work
388,1957056896,negative,The humpalow um ya I think so... Cell is dying
389,1957057026,negative,Last day at work...Sick to the bone
390,1957057469,negative,i feel like I'm on house arrest.
393,1957058219,negative,@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad
395,1957058504,positive,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!
396,1957059348,negative,my stupid tooooth hurts
397,1957059587,positive,@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is
399,1957059917,negative,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.
401,1957060439,negative,It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...
402,1957061418,negative,@jarekpastor I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages
403,1957061527,negative,my dog ran awayyy
404,1957061884,negative,@all_is_one84 Those suck so bad.
405,1957062262,negative,"I'm back. top molar extracted  swollen face, all numb.  But no more toothache or sinus pain."
406,1957062621,positive,"just finished 8 hours of Texas Life Insurance CE tonight, 22 more hours to go"
407,1957062676,negative,does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp
408,1957062698,positive,I want to go to Peru this summer ahhhhhhh! Hopefully! Yesyesyes! I miss it over there!!!
409,1957062783,negative,@exortabreedoll what happen to the maids of yours? Quit once again? ...
410,1957062827,negative,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!
411,1957063783,negative,At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.
412,1957063845,negative,@Penguin_J heehee. i love you! i am tired.
413,1957064177,negative,my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo
414,1957064253,negative,@Kirsten613 oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something
415,1957064566,negative,"@kimberly625 hmmm, I thought u were sleeping!! Too bad I can't see those videos until tomorrow night."
416,1957064575,negative,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day"
417,1957064578,negative,went to the beach and it started raining
418,1957064908,negative,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job..."
419,1957065570,positive,"@AnthonyLucas @iainfunnell Yeah, physically moving too!  Apparently we'll be reporting directly to Mr. Hayward..."
421,1957066120,negative,@charloro jealous  it looks like schindler's list in toronto
422,1957066701,positive,I want another tatt
424,1957067779,positive,"So, I need to make a lot of money tomorrow"
425,1957067988,negative,@joiskol  being in your room makes me sad.
426,1957068229,negative,"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I'm not sure if I can sleep at all."
428,1957068880,negative,@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks
429,1957069453,negative,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!"
432,1957070534,negative,@meljachin: eww. dislike
433,1957070786,negative,Tactical mistake: going to the city library and buying milk. Who knew? OUCH OUCH OUCH. Maybe a good thing I didn't try for uni.
435,1957071331,negative,"@SuzyDunkley sorry bout the cat,"
437,1957072308,negative,my stomach feels like it's touching the ground..i'm SO full
438,1957072400,positive,Pug just woke me from an incredible sleep!
439,1957072637,positive,@ddlovato i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!
440,1957072682,negative,Sooo much work so little time
441,1957072896,negative,missed iron chef
442,1957073073,negative,@thevowel the DS version sucks
443,1957073201,negative,what a bad day
444,1957073668,positive,@lilxamyx08 i know ridiculous! we never got to hang out  i love chicago and want to go shopping... so a trip sounds like fun
445,1957073753,negative,hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs
446,1957073984,negative,"Ugh, my internet was down!"
448,1957074214,negative,is feeling so giddy and wanna go home.
451,1957074977,negative,Up and packing. Its the last day of youth camp
454,1957075229,negative,Somebody please save the polar bears!
455,1957075268,positive,@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol
457,1957075457,negative,It has come to my attention from a 16yo friend that I've recently gained a TON of weight. He didn't know it was me.
458,1957075557,negative,guess im staying home tonight...no movie-ing for me
459,1957076048,negative,went to the cd store to search for the cd. But
460,1957076214,negative,@BuzzEdition reminds me of the weather a month ago it was horrible  I hope all is well hugs
461,1957076433,negative,I miss my mom..  &quot;May angels lead you in&quot;
462,1957076450,positive,there's really no android twitter app of Tweetie's calibre
463,1957076577,negative,on jacksonville beach walking in the cold Ass water   but have to work in the morning   ily &lt;('-')&gt;
465,1957077552,negative,@chocolovere i feel the same way every day
466,1957077564,negative,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.
468,1957078157,negative,Sleppytime. Really missing my godfather right now. Love you Wayne
469,1957078740,negative,So have a headache right now and it sucks
470,1957079130,negative,@JayDz hope ya sleepin well  guys still here
